Filename,t1,t1_error,A,A_error,y0,y0_error,R_squared,Iterations
ZE23_250_Ag_as.csv,22.1647887576208,1.15676821329312,-0.030281855359935,-1.23456789e-300,0.0385430958570517,0.000761376659899268,0.9784466699748603,5.0
ZE23_500_Ag_as.csv,25.6442680141198,1.41722177259866,-0.0300286907237244,2280.4594158599,0.0455315996423362,0.0009599286796274169,0.9812858667430318,6.0
ZE24_1000_Ag_as.csv,26.2332058540105,1.07486675780116,-0.0407840897022783,-1.23456789e-300,0.0439436350665982,0.000780160216765905,0.9900386531743185,5.0
ZE24_1000_as.csv,19.2808660388175,1.06952493862681,-0.0202296577422542,-1.23456789e-300,0.0260914364920533,0.00046139672047127594,0.9693959298793942,5.0
ZE24_250_Ag_as.csv,17.521150070777,0.838400451118884,-0.0305197869244883,-1.23456789e-300,0.0457642661661108,0.0005882771555833399,0.9732511136715847,7.0
ZE24_500_Ag_as.csv,21.9608694936755,0.904462036826345,-0.0382361381035818,5156.83877890459,0.052610950372443,0.0007152997388412879,0.9862511708471514,4.0
ZE25_1000_Ag_as.csv,12.712896697801,0.420834330292281,-0.0268848060586566,14630.901409952,0.0392998881342134,0.000266736109885479,0.9792659080254437,7.0
ZE25_1000_as.csv,13.4357915339446,0.725785602400615,-0.0199548721336251,5359.19101081286,0.0264901794396346,0.000344739627871028,0.9503248328095966,8.0
ZE25_250_Ag_as.csv,10.2435196129687,0.356579426007034,-0.0218115633322705,-1.23456789e-300,0.0332707356292841,0.00019271783397408398,0.9703843921188046,4.0
ZE25_500_Ag_as.csv,12.9947458068629,0.634954681583928,-0.0179386323661028,-1.23456789e-300,0.0219331897497864,0.0002703018979669,0.957135842591276,6.0
ZE26_1000_Ag_as.csv,17.7465545875179,0.812480647288187,-0.0249122553328789,-1.23456789e-300,0.0365609865435378,0.00044844417947711204,0.9759468884758618,6.0
ZE26_1000_as.csv,16.793459188667,1.00770444342326,-0.020255064954943,6249.20854948213,0.0260198668198637,0.000464574516035928,0.9557993274267889,4.0
ZE26_250_Ag_as.csv,11.9652884268238,0.426667675336277,-0.0266091430598505,6208.79224799045,0.0348276251006415,0.000289160511861238,0.9740887181045647,5.0
ZE26_500_Ag_as.csv,15.5407623946471,0.667841118293531,-0.025886622554088,4890.54457852439,0.0361272036558183,0.00038366096013567704,0.9739487064901937,6.0
